Time(s),RelAlt(m),Compass_Hdg(deg),EKF_X,EKF_Y,EKF_Z,ZED_X,ZED_Y,ZED_Z,IMU_AccX,IMU_AccY,IMU_AccZ
1787035553.34,-0.00,267.05,0.07,0.13,-0.01,0.12,0.12,0.14,0.39,-0.01,9.81
1787035553.44,-0.00,267.05,0.07,0.13,-0.01,0.12,0.12,0.14,0.39,-0.01,9.81
1787035553.54,-0.00,267.05,0.07,0.13,-0.01,-0.02,0.09,0.11,0.39,-0.01,9.81
1787035553.64,-0.01,268.61,0.06,0.11,-0.00,-0.03,0.09,0.11,0.94,0.21,9.70
1787035553.74,-0.01,268.61,0.06,0.11,-0.00,-0.03,0.09,0.11,0.94,0.21,9.70
1787035553.84,-0.00,270.78,0.04,0.10,0.00,-0.03,0.10,0.11,0.72,-0.44,9.77
1787035553.94,-0.00,270.78,0.04,0.10,0.00,-0.03,0.09,0.12,0.72,-0.44,9.77
1787035554.04,-0.00,270.78,0.04,0.10,0.00,-0.03,0.09,0.12,0.72,-0.44,9.77
1787035554.14,-0.01,268.31,0.09,0.10,0.00,-0.01,0.08,0.13,0.32,-1.11,9.61
1787035554.24,-0.01,268.31,0.09,0.10,0.00,-0.01,0.08,0.13,0.32,-1.11,9.61
1787035554.34,-0.00,267.57,0.17,0.09,-0.00,-0.01,0.08,0.13,0.43,-0.42,9.66
1787035554.44,-0.00,267.57,0.17,0.09,-0.00,-0.01,0.08,0.13,0.43,-0.42,9.66
1787035554.54,-0.00,267.57,0.17,0.09,-0.00,-0.01,0.06,0.12,0.43,-0.42,9.66
1787035554.64,-0.01,267.99,0.22,0.09,-0.00,-0.01,0.06,0.12,0.36,-1.03,9.68
1787035554.74,-0.01,267.99,0.22,0.09,-0.00,-0.01,0.06,0.11,0.36,-1.03,9.68
1787035554.84,-0.01,271.16,0.27,0.08,-0.01,-0.01,0.06,0.11,0.74,0.29,9.40
1787035554.94,-0.01,271.16,0.27,0.08,-0.01,-0.01,0.06,0.12,0.74,0.29,9.40
1787035555.04,-0.01,271.16,0.27,0.08,-0.01,0.03,0.02,0.10,0.74,0.29,9.40
1787035555.14,-0.01,275.08,0.31,0.07,-0.01,0.05,0.02,0.11,0.30,-0.51,10.01
1787035555.24,-0.01,275.08,0.31,0.07,-0.01,0.07,0.02,0.12,0.30,-0.51,10.01
1787035555.34,-0.01,276.74,0.35,0.05,-0.01,0.07,0.02,0.12,0.68,-0.73,9.82
1787035555.44,-0.01,276.74,0.35,0.05,-0.01,0.07,0.02,0.12,0.68,-0.73,9.82
1787035555.54,-0.01,276.74,0.35,0.05,-0.01,0.08,0.02,0.12,0.68,-0.73,9.82
1787035555.64,-0.01,274.94,0.37,0.03,-0.02,0.08,0.02,0.11,0.66,-0.85,9.74
1787035555.74,-0.01,274.94,0.37,0.03,-0.02,-0.09,-0.03,0.01,0.66,-0.85,9.74
1787035555.84,-0.01,273.26,0.39,0.01,-0.01,-0.09,-0.03,0.01,-0.16,-0.31,10.26
1787035555.94,-0.01,273.26,0.39,0.01,-0.01,-0.09,-0.03,0.01,-0.16,-0.31,10.26
1787035556.04,-0.01,273.26,0.39,0.01,-0.01,-0.09,-0.03,0.01,-0.16,-0.31,10.26
1787035556.14,-0.01,273.52,0.43,-0.03,-0.02,-0.09,-0.02,0.02,0.34,0.30,9.49
1787035556.24,-0.01,273.52,0.43,-0.03,-0.02,-0.09,-0.02,0.02,0.34,0.30,9.49
1787035556.34,-0.01,272.31,0.43,-0.03,-0.02,-0.09,-0.02,0.03,0.86,-0.38,9.53
1787035556.44,-0.01,272.31,0.43,-0.03,-0.02,-0.09,-0.02,0.03,0.86,-0.38,9.53
1787035556.54,-0.01,272.31,0.43,-0.03,-0.02,-0.07,-0.02,0.03,0.86,-0.38,9.53
1787035556.64,-0.01,276.45,0.51,-0.08,-0.00,-0.07,-0.02,0.03,0.86,-0.38,9.53
1787035556.74,-0.01,276.45,0.51,-0.08,-0.00,-0.06,-0.02,0.05,0.86,-0.38,9.53
1787035556.84,-0.00,275.59,0.54,-0.09,-0.01,-0.12,-0.03,0.04,0.55,-0.45,9.58
1787035556.94,-0.00,275.59,0.54,-0.09,-0.01,-0.19,-0.06,-0.01,0.55,-0.45,9.58
1787035557.04,-0.00,275.59,0.54,-0.09,-0.01,-0.22,-0.06,-0.03,0.55,-0.45,9.58
1787035557.14,-0.00,273.80,0.54,-0.10,-0.01,-0.21,-0.06,-0.02,0.76,-0.58,9.53
